Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Highly unpredictable,Moderate,Improve productivity,Busy,In control,Strong,Mentally drained,Clarify immediately,Rarely,Feel stressed,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,High,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Always,Comfortable,Clear,Frequent,High,Fully refreshed,Slight discomfort,Mild
Slightly high,Rarely,Mostly predictable,High,Improve productivity,Busy,In control,Moderate,Slightly tired,Try to figure out,Occasionally,Avoid dealing,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,High,Improve productivity,Busy,In control,Strong,Mentally drained,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Mostly refreshed,Comfortable,Minimal
High,Rarely,Predictable,Moderate,Improve productivity,Hectic,Struggling,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Uncomfortable,Clear,Rare,High,Mostly refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Controlled,Struggling,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Frequent,Low,Mostly refreshed,Comfortable,Mild
Well-balanced,Frequently,Mostly predictable,Moderate,Slight impact,Controlled,In control,Strong,Mentally drained,Delay starting,Occasionally,Feel stressed,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
High,Rarely,Predictable,Moderate,Improve productivity,Busy,Managing,Strong,Overwhelmed,Clarify immediately,Frequently,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,Moderate,Mostly refreshed,Slight discomfort,Mild
High,Occasionally,Predictable,Moderate,Improve productivity,Busy,Managing,Moderate,Satisfied and clear,Clarify immediately,Constantly,Analyze and fix,Always,Slightly uncomfortable,Often unclear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Slight impact,Controlled,In control,Strong,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Always,Comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,Moderate,Reduce productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Frequent,High,Fully refreshed,Slight discomfort,Mild
Slightly high,Rarely,Predictable,Moderate,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Overwhelmed,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Occasional,Moderate,Mostly refreshed,Slight discomfort,Mild
High,Rarely,Predictable,Moderate,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,Moderate,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,Managing,Weak,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Sometimes,Comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Sometimes unclear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Slight impact,Controlled,Struggling,Very weak,Satisfied and clear,Clarify immediately,Frequently,Adjust quickly,Sometimes,Comfortable,Clear,Frequent,High,Mostly refreshed,Noticeable strain,Mild
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Feel stressed,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Occasionally,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,Moderate,Slight impact,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Always,Very comfortable,Mostly clear,Occasional,Moderate,Slightly refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Slight impact,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Clear,Frequent,High,Mostly refreshed,Uncomfortable,Minimal
Well-balanced,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,Struggling,Weak,Satisfied and clear,Try to figure out,Constantly,Analyze and fix,Often,Comfortable,Mostly clear,Rare,Low,Fully refreshed,Comfortable,Minimal
Very high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Very weak,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Sometimes unpredictable,Moderate,Reduce productivity,Controlled,In control,Moderate,Satisfied and clear,Delay starting,Occasionally,Adjust quickly,Always,Comfortable,Clear,Occasional,Low,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Frequently,Analyze and fix,Often,Slightly uncomfortable,Clear,Occasional,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Hectic,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Often,Comfortable,Clear,Frequent,High,Mostly refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Low,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,High,Not refreshed,Uncomfortable,Mild
Well-balanced,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Delay starting,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Constant,High,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,Low,Improve productivity,Controlled,Overwhelmed,Strong,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Always,Slightly uncomfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,Managing,Strong,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Frequent,High,Fully refreshed,Comfortable,Mild
High,Occasionally,Mostly predictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Mild
Well-balanced,Occasionally,Predictable,High,Slight impact,Controlled,Struggling,Strong,Slightly tired,Try to figure out,Rarely,Feel stressed,Always,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,Moderate,Slight impact,Busy,In control,Strong,Mentally drained,Delay starting,Occasionally,Analyze and fix,Sometimes,Very comfortable,Clear,Occasional,High,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Almost daily,Sometimes unpredictable,High,Slight impact,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Comfortable,Clear,Rare,High,Mostly refreshed,Slight discomfort,Noticeable
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Avoid it,Occasionally,Analyze and fix,Often,Comfortable,Mostly clear,Rare,Low,Mostly refreshed,Comfortable,Noticeable
Well-balanced,Occasionally,Predictable,Low,Improve productivity,Busy,In control,Weak,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Often,Comfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,High,Improve productivity,Busy,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,Struggling,Strong,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Often,Comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Predictable,High,Improve productivity,Controlled,In control,Strong,Mentally drained,Try to figure out,Rarely,Analyze and fix,Often,Slightly uncomfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,Low,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Frequently,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Always,Comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Almost daily,Predictable,High,Slight impact,Busy,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,Moderate,Slight impact,Controlled,In control,Weak,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,Low,Mostly refreshed,Noticeable strain,Minimal
High,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Delay starting,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,Moderate,Slight impact,Controlled,In control,Strong,Slightly tired,Try to figure out,Frequently,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Hectic,Managing,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,High,Slight impact,Busy,Struggling,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,Moderate,Mostly refreshed,Noticeable strain,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Busy,In control,Strong,Slightly tired,Delay starting,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,High,Improve productivity,Hectic,In control,Strong,Slightly tired,Delay starting,Occasionally,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,Low,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Feel stressed,Often,Very comfortable,Clear,Frequent,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,Managing,Moderate,Mentally drained,Try to figure out,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Occasionally,Predictable,High,Slight impact,Busy,Struggling,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Sometimes unclear,Rare,High,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Strong,Mentally drained,Delay starting,Rarely,Analyze and fix,Often,Comfortable,Sometimes unclear,Occasional,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Often,Comfortable,Clear,Constant,High,Fully refreshed,Comfortable,Mild
Well-balanced,Frequently,Predictable,High,Improve productivity,Controlled,Struggling,Weak,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Frequently,Mostly predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Rare,High,Mostly refreshed,Noticeable strain,Noticeable
Well-balanced,Occasionally,Mostly predictable,High,Reduce productivity,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Slight discomfort,High
Well-balanced,Frequently,Predictable,High,Slight impact,Chaotic,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,High,Slight impact,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Comfortable,Sometimes unclear,Occasional,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Often,Comfortable,Mostly clear,Frequent,High,Mostly refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Predictable,Low,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Sometimes,Very comfortable,Clear,Occasional,High,Mostly refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Busy,Managing,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,No control,Slight impact,Controlled,Struggling,Strong,Overwhelmed,Try to figure out,Occasionally,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Rare,Moderate,Slightly refreshed,Comfortable,Minimal
Slightly high,Almost daily,Mostly predictable,High,Slight impact,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,Very low,Fully refreshed,Comfortable,High
Slightly high,Frequently,Predictable,Moderate,Improve productivity,Busy,Struggling,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Rare,High,Slightly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Sometimes unpredictable,High,Slight impact,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Rarely,Uncomfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Mostly predictable,High,Reduce productivity,Controlled,In control,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
High,Rarely,Predictable,Moderate,Slight impact,Controlled,Managing,Moderate,Mentally drained,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Mild
High,Frequently,Mostly predictable,Moderate,Improve productivity,Busy,In control,Weak,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Often,Very comfortable,Clear,Occasional,Moderate,Mostly refreshed,Noticeable strain,Mild
High,Occasionally,Predictable,Low,Slight impact,Controlled,In control,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Sometimes,Comfortable,Clear,Occasional,High,Fully refreshed,Noticeable strain,Mild
Well-balanced,Occasionally,Predictable,High,Reduce productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Comfortable,Clear,Occasional,Low,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Frequently,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Slightly refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Mostly predictable,High,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Always,Very comfortable,Mostly clear,Rare,High,Not refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Slight impact,Busy,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Very weak,Slightly tired,Try to figure out,Constantly,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Slightly refreshed,Comfortable,Noticeable
Slightly high,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Frequent,Very low,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Delay starting,Frequently,Adjust quickly,Always,Very comfortable,Sometimes unclear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Noticeable
Well-balanced,Occasionally,Predictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Comfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Noticeable strain,Noticeable
Well-balanced,Occasionally,Predictable,Moderate,Reduce productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Often,Uncomfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Sometimes unclear,Rare,Moderate,Fully refreshed,Comfortable,High
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,High,Slightly refreshed,Noticeable strain,High
Well-balanced,Occasionally,Mostly predictable,Low,Improve productivity,Busy,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Rare,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Sometimes unpredictable,High,Slight impact,Hectic,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Slightly refreshed,Comfortable,Mild
Slightly high,Almost Daily,Predictable,Low,Major disruption,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Sometimes,Comfortable,Sometimes unclear,Frequent,High,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Low,Slight impact,Hectic,Struggling,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,High,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Comfortable,Sometimes unclear,Frequent,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,Moderate,Mostly refreshed,Slight discomfort,Minimal
High,Rarely,Mostly predictable,Moderate,Improve productivity,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Clear,Rare,Moderate,Mostly refreshed,Slight discomfort,Minimal
Slightly high,Almost daily,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,Very low,Fully refreshed,Uncomfortable,Minimal
High,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Moderate,Slightly tired,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,Very low,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Slightly uncomfortable,Mostly clear,Frequent,Moderate,Not refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Mostly predictable,High,Improve productivity,Controlled,Managing,Weak,Mentally drained,Clarify immediately,Occasionally,Adjust quickly,Always,Slightly uncomfortable,Clear,Rare,High,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Slightly refreshed,Slight discomfort,Mild
High,Occasionally,Mostly predictable,High,Slight impact,Controlled,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Mostly refreshed,Comfortable,Noticeable
Well-balanced,Occasionally,Predictable,High,Reduce productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Clear,Occasional,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Hectic,In control,Moderate,Satisfied and clear,Delay starting,Frequently,Adjust quickly,Always,Very comfortable,Clear,Frequent,High,Mostly refreshed,Uncomfortable,Minimal
Well-balanced,Rarely,Predictable,High,Slight impact,Busy,Managing,Strong,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,High,Slight impact,Busy,In control,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Frequent,High,Fully refreshed,Slight discomfort,Minimal
High,Occasionally,Predictable,Low,Improve productivity,Controlled,In control,Moderate,Slightly tired,Try to figure out,Rarely,Adjust quickly,Always,Comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Occasionally,Predictable,Moderate,Reduce productivity,Busy,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,Low,Reduce productivity,Busy,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,High
Well-balanced,Rarely,Mostly predictable,No control,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Busy,In control,Moderate,Overwhelmed,Try to figure out,Occasionally,Analyze and fix,Always,Comfortable,Clear,Rare,Moderate,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Sometimes unpredictable,Low,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Not refreshed,Uncomfortable,Minimal
High,Rarely,Mostly predictable,Moderate,Reduce productivity,Controlled,In control,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Sometimes unpredictable,High,Reduce productivity,Controlled,In control,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Noticeable
High,Frequently,Predictable,High,Improve productivity,Busy,Struggling,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Very high,Frequently,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Frequently,Adjust quickly,Always,Comfortable,Sometimes unclear,Occasional,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,In control,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Often unclear,Rare,Low,Mostly refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Rarely,Slightly uncomfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Rarely,Predictable,Moderate,Slight impact,Controlled,In control,Strong,Slightly tired,Delay starting,Rarely,Feel stressed,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Controlled,Managing,Strong,Mentally drained,Clarify immediately,Occasionally,Analyze and fix,Often,Comfortable,Sometimes unclear,Rare,Low,Fully refreshed,Noticeable strain,Noticeable
Well-balanced,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,Struggling,Moderate,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Sometimes,Very comfortable,Mostly clear,Constant,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Mostly refreshed,Noticeable strain,Mild
